m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
Cecilie Blydt Heuch	0.2626037	0.8122827	-0.39508745	0.099658765	-0.060643952	-0.7276594	1.0611169	0.62131804	-0.21623188	0.90162647	1.487123	-0.19133458	-0.6306294	0.04393145	-1.4923812	-0.22212617	0.41837335	-0.24272184	-0.26058626	1.0249069	0.042556446	0.585303	0.8999045	-0.8282241	-1.0122268	0.4829151	-2.3800244	-0.36317214	-0.8339751	1.2081686	-0.6748373	-0.029003287	2
Jan Peter Valheim	0.4751778	0.5809194	-0.39932483	0.2256441	-0.042267967	-0.61871445	1.0727332	0.57369053	-0.101317875	1.0661875	1.311951	-0.2355517	-0.63069177	-0.02423804	-1.5004519	-0.129197	0.47747207	-0.44286704	-0.32388404	0.7911885	0.21647364	0.60816675	0.7617258	-0.7935295	-0.867329	0.5319907	-2.1921918	-0.13563013	-0.777337	1.237057	-0.6188318	-0.2768979	1
Øivin Fjeldstad	0.34621963	0.82757026	-0.35129133	0.01909345	-0.045684975	-0.6881915	0.98659045	0.5340484	-0.027575696	0.8404492	1.3813143	-0.1755213	-0.63285154	0.021355545	-1.6176863	-0.26902893	0.3504666	-0.280623	-0.27792335	1.0673826	0.08457678	0.53110427	0.8775641	-0.8636923	-0.92689824	0.5005766	-2.3952584	-0.37042612	-0.8813139	1.1660898	-0.6692285	-0.045330796	1
Per Oscar Lund	0.56058013	0.53816354	-0.23510933	0.24611907	-0.040896095	-0.42171544	0.88617843	0.5386608	-0.07776832	1.2055986	1.3278599	-0.3546319	-0.5594776	0.068220556	-1.4386482	-0.17913927	0.5456633	-0.4172302	-0.34577733	0.63493335	0.026055539	0.6851094	0.9874161	-0.8726331	-0.8792718	0.46804345	-2.3058095	0.050505586	-0.6701093	1.1485043	-0.665952	-0.20694484	1
Stephen Knudtzon	0.2010127	0.7521158	-0.45178333	0.14284053	-0.10468036	-0.8478582	1.0582061	0.65814596	-0.18637098	0.9228369	1.4255886	-0.101046376	-0.707469	0.072911	-1.4701849	-0.2898229	0.414442	-0.3242868	-0.17221545	1.1173311	0.08016007	0.56623924	0.81806016	-0.8497177	-0.9786301	0.52931106	-2.3231633	-0.4047152	-0.7475449	1.2093062	-0.5592502	0.001110615	1
Agnes Beathe Lindeman Steen Fosse	0.9604936	0.65947	0.4009504	-0.45671517	0.7912493	-0.8988076	-0.3196898	0.2672968	-0.013453816	0.19490135	0.84051675	-1.2571869	-0.43747413	-1.1665223	0.77194315	-0.5981889	1.142363	0.05079296	1.0501086	0.9614671	0.089527175	-0.18147665	1.8129117	-0.8617176	-0.61292094	1.0943931	-0.70376605	0.99880075	0.042328928	0.37156644	-0.53577185	-0.34559923	2
Bengt Olof Thuresson	0.8926696	0.6195574	0.31099683	-0.4381306	0.84553826	-0.83460945	-0.44687742	0.114226244	0.10820456	-0.042052086	0.84928274	-1.2457068	-0.51786417	-1.2260388	0.68473274	-0.45250568	0.921825	0.016968565	0.98569125	0.88130033	0.17021777	-0.20510761	1.8416399	-1.0551205	-0.6524445	1.0450572	-0.75603074	0.9961088	0.029871907	0.21002978	-0.5602027	-0.30437982	1
Ingvild Huseby	0.89209634	0.63349503	0.38597995	-0.46848896	0.92174274	-0.75801134	-0.37317356	0.21897963	0.15677719	-0.0084595	0.7746751	-1.2232397	-0.47214982	-1.0366977	0.68263453	-0.60507977	0.8396155	0.07604436	0.9593207	0.9933558	0.11227871	-0.27645978	1.7616097	-1.0455391	-0.5832281	1.0171541	-0.7200421	0.9821238	0.12475429	0.28807205	-0.49856126	-0.11517602	2
Nils Kloumann Selte	0.72491914	0.5149983	0.16578092	-0.21522146	1.0095719	-0.56473404	-0.18668965	-0.2780019	0.10062745	-0.049723074	0.81240106	-1.0434748	-0.74723446	-1.0951428	0.5816036	-0.74094164	0.864152	-0.11391927	1.1584357	0.94622797	0.24825743	-0.5012914	1.6517397	-1.0190052	-0.38898602	0.94939774	-0.6700257	0.7565782	-0.14113188	0.40587917	-0.42408437	0.0020918665	1
Pål Hvammen	1.0037974	0.5171696	0.26035357	-0.4259553	0.93334347	-0.80528677	-0.35627225	0.54448545	0.6078615	0.08554159	0.6028126	-1.4600635	-0.49987137	-1.0247804	0.6194018	-0.67822504	0.79140383	-0.04655283	0.7681774	0.9537582	-0.14014155	-0.2293423	1.8979361	-1.1034781	-0.6675156	0.9256474	-0.68840283	0.877195	-0.06911937	-0.11543905	-0.38547382	-0.12678534	1
