m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
Roni Leben	0.35152596	-1.4301306	-0.12529716	0.46597466	0.53969955	-0.9832527	0.13246751	0.50302434	0.20157689	-0.7203212	0.84424925	-0.3418831	0.44487494	-0.3286991	-0.6222558	1.2059176	-0.41770697	-0.33428973	0.27526364	0.0008624799	0.99670464	0.4086571	1.3073323	-0.9058566	0.54794496	0.35510847	-1.5071679	-0.5656246	-0.4672188	-0.9917445	0.16349049	-0.346864	1
Herman J. P. van Midden	-0.010343529	-0.017089844	-0.009654149	0.0185256	0.023738392	0.031128414	-0.025646538	-0.009499975	-0.026086397	-0.0010295957	0.0006885454	-0.015952423	0.026889332	-0.0059733093	0.015265562	0.008063391	-0.0032915846	-0.02579011	-0.008278146	0.024993233	-0.008517802	-0.00022496283	0.016154863	-0.030395783	0.017090224	-0.01746545	0.029255427	0.02584295	-0.016127959	0.0211128	0.0035029352	0.027441144	5
Matjaž Pančur	-0.06701111	-0.177686	0.38299343	-0.37592575	-0.37218148	0.5808774	-0.0077703698	0.07502223	-0.03385631	-0.5982783	0.34271452	-1.101274	0.35179752	0.11048786	-0.4690509	0.31324425	0.9350627	0.7269445	0.058614228	0.19292927	1.4229473	1.3878205	0.15699291	-0.054920986	0.25349313	-0.36191618	-1.2110448	0.87074447	0.00912111	0.469739	0.9428658	0.47953698	1
Stanislav Petrinić	1.7985195	-0.021720687	-0.74308884	-1.6662444	-0.27426744	-0.26462433	-2.2857647	-0.28974235	-0.64456093	-0.6836408	0.27671522	-0.21795596	-1.564676	-1.1692804	0.41188696	2.3573046	0.3141006	-0.1062245	0.8360936	-0.69535655	1.8373703	1.3884709	0.6967115	-0.101586185	0.5966163	-0.3017682	-0.1405338	-0.3847041	-0.55340147	0.07154202	1.7310983	-0.24845196	5
Andrej Korošec	0.42999884	0.029328592	1.2100168	-1.1586728	0.6009791	-1.3723832	-2.4422452	0.04602619	-1.0321829	0.04229543	0.37260208	-0.12343236	-1.5521426	-0.63228995	1.2886608	1.3709271	0.22922955	1.6643915	-0.105453804	1.4154878	0.5877963	0.90114015	0.9076707	-0.5827761	0.5425978	-0.67476976	-0.10396287	0.5959474	-0.050728414	0.38631263	2.1686723	0.5973655	5
Robert Vehovec	-0.02576004	0.009259306	-0.012242705	0.030832365	0.03115464	0.020024523	0.0026362762	0.0025695637	-0.030492194	0.0299493	0.02099529	-0.027871706	-0.020184986	0.016834669	-0.00094192475	-0.016482033	0.010569602	-0.029162541	0.020013005	0.008307293	0.009655036	0.024817713	0.008763619	-0.021709174	0.005291842	-0.008049414	-0.017462619	0.016800575	2.9578805e-05	-0.0012649149	-0.013744213	0.0052593276	5
Simon Beloglavec	0.4763074	-0.008420618	-0.3796326	-0.12867475	0.33584177	-0.015203619	-0.05191372	-1.2298839	-0.5882488	-0.41346	0.32596081	-0.59075606	-0.33915412	0.29430687	0.7634696	0.14803305	0.117621884	-0.08880657	-0.10492983	0.71312493	0.41944987	0.99989957	0.93296057	0.68675184	0.96929157	0.47075093	-0.076597586	0.055849638	-0.44675013	-0.21599635	0.46807662	0.6213231	5
Patricio Bulić	-0.28580666	1.1803501	-0.28800642	0.065324366	0.6851633	-0.37728077	-0.384393	-0.563693	-0.37684137	-0.34420374	0.37560776	-0.055253558	0.06925614	0.10271921	0.07716259	0.8135677	0.55680627	0.23437472	0.47552058	-0.3142941	1.2088717	1.5732613	0.58267677	-0.26301357	0.5788369	0.90344393	-0.8342929	0.24332225	0.5169721	-0.19902423	1.1683905	0.038648013	1
Anamarija Leben	0.43246698	-1.094255	0.52248013	0.29423177	0.83976483	-0.031431567	-0.6907025	0.14526553	-0.51312304	-0.48403877	-0.20991407	-0.03864943	0.9232573	-0.43709573	-0.1263924	0.4525221	-0.49648452	1.2974639	0.15746999	0.25907388	0.12651879	-0.0984472	1.2283291	-0.6060744	0.7695303	-0.40969926	-0.74510795	0.60623884	-0.6417189	0.23160267	0.49753675	0.1555832	5
Vasja Kavčič	1.753847	-0.52876204	1.2298712	-1.0362022	0.2430758	-1.2567346	-1.3697277	0.7809823	-0.98697037	-0.4133807	0.16444708	-1.005125	-0.93692946	0.36215553	-0.7277047	0.90234905	1.7090274	0.7611548	-0.40985528	1.800699	1.1137316	1.2256799	0.27477923	-0.117121086	-0.62132156	-0.19193274	-0.7810345	0.17293991	0.546735	-1.1887921	1.0526519	0.49954203	5
Tamara Bertok Velkavrh	1.7124734	0.063942276	0.09421678	-1.152277	-0.14932548	-0.8230503	-1.5822618	-1.0099654	-0.4119948	-1.0289171	2.025079	-0.990095	-0.36085153	-0.89116675	-0.16727822	1.7241545	-0.19289683	0.7476257	-0.57353663	-0.33878043	0.37288463	1.4509089	0.43972996	-1.6551831	1.2923914	-1.0267444	-1.5655296	-0.22788493	0.14471734	0.8331395	0.60403895	0.62378424	5
Slavko Krapež	0.2283263	-0.68242484	-0.3066451	0.17802273	0.53845537	0.7224952	-0.40342894	0.19409937	-0.2550756	-0.06262447	0.06385413	-1.1789558	-0.20516507	-1.3387691	-0.26001206	0.52937835	0.055727504	0.79985416	-0.5356102	0.7446955	0.64268434	0.7433432	-0.32126415	-0.3255044	-0.36988553	-0.7085784	-0.53325766	-0.009518901	-0.3028432	-0.10088404	0.287814	1.4030803	1
